P1,P2,P3,NF
52,71,67,65.1
89,100,39,66.01
47,72,48,58.78
64,77,85,76.86
100,85,84,85.89
84,64,87,78.47
60,80,78,68.38
70,67,100,76.39
63,85,50,68.29
100,75,93,80.88
45,50,70,53.3
55,70,78,65.78
42,50,25,35.31
52,64,48,57.72
60,42,50,42.84
43,64,27,40.49
71,80,60,68.98
67,45,80,56.51
52,55,80,62.51
90,55,44,51.59
63,55,70,65.39
39,48,70,50.48
60,50,66,55.36
75,80,93,81.23
75,23,54,44.15
70,35,90,60.45
75,55,70,65.55
72,45,47,50.88
40,38,68,48.14
90,50,97,73.47
60,65,34,53.79
30,38,38,32.04
80,48,100,69.16
40,54,51,45.09
75,60,73,70.63
50,34,82,54.2
80,59,84,75.67
75,38,67,54.03
50,36,48,37
43,55,100,68.09
80,38,32,43.58
100,55,69,69.64
55,32,25,29.99
75,55,26,41.51
50,48,87,67.43
45,60,70,59
80,38,88,68.54
60,21,74,53.91
40,38,8,23.54
80,55,91,74.06
50,55,92,63.07
100,35,92,68.67
50,55,68,57.23
100,90,45,74.75
45,58,72,54.08
75,65,85,74.4
90,43,43,54.74
74,77,75,75.56
50,61,65,63.22
31,35,34,31.47
40,66,60,54.22
61,72,85,75.47
52,45,70,58.71
66,58,55,59.89
70,55,85,63.8
50,90,65,72.95
61,97,85,82.72
61,65,65,61.68
70,56,65,58.97
63,50,95,64.79
55,60,77,62.67
60,55,45,46.6
75,75,70,68.95
90,77,65,74.34
80,93,75,84.56
75,68,80,66.46
55,75,80,75.45
61,72,65,67.27
60,51,85,66.52
60,68,57,54.33
36,62,65,57.07
56,64,80,71.56
65,93,100,84.11
75,80,72,67.62
66,74,75,68.01
70,85,15,52.2
61,86,85,79.65
80,73,75,75.16
45,30,75,52.95
32,88,50,55.82
80,98,75,78.41
65,48,75,55.21
55,85,80,74.15
55,80,45,62.95
75,87,95,85.64
